policy_id,car_id,company,start_date,end_date,cost
1,482,РЕСО-Гарантия,2026-05-24 07:31:49.978191,2027-05-24 07:31:49.978191,13851
2,305,Ингосстрах,2025-04-25 22:26:01.698827,2026-04-25 22:26:01.698827,11042
3,305,Росгосстрах,2026-04-25 22:26:01.698827,2027-04-25 22:26:01.698827,14772
4,938,РЕСО-Гарантия,2025-10-28 00:46:21.399353,2026-10-28 00:46:21.399353,24676
5,193,Росгосстрах,2026-02-28 19:45:04.806319,2027-02-28 19:45:04.806319,12703
6,577,ВСК,2023-09-09 09:15:16.426193,2024-09-08 09:15:16.426193,9385
7,577,Т-Страхование,2024-09-08 09:15:16.426193,2025-09-08 09:15:16.426193,23140
8,577,АльфаСтрахование,2025-09-08 09:15:16.426193,2026-09-08 09:15:16.426193,17776
9,745,Т-Страхование,2026-05-29 04:55:13.772077,2027-05-29 04:55:13.772077,18577
10,1146,АльфаСтрахование,2025-07-10 11:11:58.545766,2026-07-10 11:11:58.545766,24653
11,826,АльфаСтрахование,2024-11-01 19:05:11.919482,2025-11-01 19:05:11.919482,24859
12,826,Росгосстрах,2025-11-01 19:05:11.919482,2026-11-01 19:05:11.919482,8498
13,802,РЕСО-Гарантия,2024-05-15 09:40:59.641840,2025-05-15 09:40:59.641840,7231
14,802,Т-Страхование,2025-05-15 09:40:59.641840,2026-05-15 09:40:59.641840,11558
15,711,Росгосстрах,2025-12-11 05:32:02.954527,2026-12-11 05:32:02.954527,14618
16,490,РЕСО-Гарантия,2025-12-20 09:29:04.897914,2026-12-20 09:29:04.897914,21450
17,738,Росгосстрах,2025-08-05 07:09:43.335593,2026-08-05 07:09:43.335593,23555
18,656,АльфаСтрахование,2025-05-02 02:18:05.792162,2026-05-02 02:18:05.792162,12200
19,427,АльфаСтрахование,2025-12-31 08:58:22.950149,2026-12-31 08:58:22.950149,5687
20,390,Росгосстрах,2025-06-05 15:57:21.791027,2026-06-05 15:57:21.791027,22546
21,980,Росгосстрах,2025-12-26 20:15:23.086942,2026-12-26 20:15:23.086942,23184
22,519,РЕСО-Гарантия,2022-08-04 00:44:25.588560,2023-08-04 00:44:25.588560,24819
23,519,ВСК,2023-08-04 00:44:25.588560,2024-08-03 00:44:25.588560,21723
24,519,РЕСО-Гарантия,2024-08-03 00:44:25.588560,2025-08-03 00:44:25.588560,8579
25,519,Т-Страхование,2025-08-03 00:44:25.588560,2026-08-03 00:44:25.588560,8808
26,608,Т-Страхование,2026-04-28 05:58:51.167190,2027-04-28 05:58:51.167190,6864
27,505,РЕСО-Гарантия,2026-05-22 15:45:42.829644,2027-05-22 15:45:42.829644,11852
28,663,РЕСО-Гарантия,2024-12-24 21:53:01.489464,2025-12-24 21:53:01.489464,19277
29,663,ВСК,2025-12-24 21:53:01.489464,2026-12-24 21:53:01.489464,14734
30,785,Т-Страхование,2024-05-11 09:22:35.093767,2025-05-11 09:22:35.093767,11240
31,785,Ингосстрах,2025-05-11 09:22:35.093767,2026-05-11 09:22:35.093767,7755
32,653,ВСК,2025-09-23 17:37:34.392094,2026-09-23 17:37:34.392094,15439
33,514,ВСК,2025-08-27 23:33:00.052692,2026-08-27 23:33:00.052692,16530
34,740,РЕСО-Гарантия,2025-08-09 02:42:37.684429,2026-08-09 02:42:37.684429,19055
35,1086,Росгосстрах,2025-02-04 11:45:07.224655,2026-02-04 11:45:07.224655,11128
36,1086,АльфаСтрахование,2026-02-04 11:45:07.224655,2027-02-04 11:45:07.224655,12633
37,72,Росгосстрах,2024-11-15 11:01:45.827481,2025-11-15 11:01:45.827481,16961
38,72,Ингосстрах,2025-11-15 11:01:45.827481,2026-11-15 11:01:45.827481,10165
39,17,Ингосстрах,2025-06-02 14:34:23.696061,2026-06-02 14:34:23.696061,23207
40,17,АльфаСтрахование,2026-06-02 14:34:23.696061,2027-06-02 14:34:23.696061,13441
41,947,Т-Страхование,2024-03-09 20:23:08.164063,2025-03-09 20:23:08.164063,14502
42,947,ВСК,2025-03-09 20:23:08.164063,2026-03-09 20:23:08.164063,16474
43,947,РЕСО-Гарантия,2026-03-09 20:23:08.164063,2027-03-09 20:23:08.164063,20024
44,734,ВСК,2025-09-03 00:13:36.367836,2026-09-03 00:13:36.367836,6615
45,708,АльфаСтрахование,2024-10-09 14:25:49.346216,2025-10-09 14:25:49.346216,10920
46,708,АльфаСтрахование,2025-10-09 14:25:49.346216,2026-10-09 14:25:49.346216,14492
