fine_id,car_id,date,amount,status
1,734,2026-04-22,542.1932583721201,Не оплачен
2,968,2026-05-14,837.7507165971679,Оплачен
3,692,2026-01-11,906.3286770009998,Не оплачен
4,1098,2026-04-08,556.8102995017387,Не оплачен
5,910,2026-02-22,623.1245070406516,Не оплачен
6,558,2026-01-05,567.627982854623,Не оплачен
7,959,2026-03-07,989.4887071388829,Оплачен
8,84,2026-05-15,506.794221529061,Оплачен
9,820,2026-01-24,652.6478632322664,Оплачен
10,1162,2026-01-26,377.4659043022995,Оплачен
11,773,2026-02-04,461.8230953137197,Оплачен
12,147,2026-01-18,633.8935354950451,Оплачен
13,1045,2026-02-20,754.8152648187145,Не оплачен
14,241,2026-04-22,234.0631658927698,Не оплачен
15,31,2026-01-06,406.3619899077214,Не оплачен
16,607,2026-05-09,924.2579644885147,Оплачен
17,917,2026-03-25,864.3613344242721,Не оплачен
18,72,2026-02-19,495.7668436622003,Оплачен
19,363,2026-02-12,159.28330744110065,Не оплачен
20,368,2026-03-19,421.99799837296274,Не оплачен
21,1089,2026-04-08,532.3023153354798,Оплачен
22,91,2026-01-16,268.82798397590204,Оплачен
23,190,2026-01-09,175.26141626346475,Не оплачен
24,949,2026-02-27,747.6077915852119,Не оплачен
25,433,2026-03-12,556.7305902172327,Оплачен
26,908,2026-05-15,103.6548091539615,Оплачен
27,1049,2026-05-24,652.2540865244823,Не оплачен
28,821,2026-02-04,847.2509732425607,Не оплачен
29,1100,2026-03-02,584.5189028236421,Оплачен
30,693,2026-02-04,139.83423424344062,Не оплачен
31,525,2026-03-27,480.37420507437287,Оплачен
32,1095,2026-05-08,712.990185648477,Не оплачен
33,9,2026-05-21,810.312467605941,Оплачен
34,784,2026-03-27,411.89032524283795,Оплачен
35,1042,2026-01-29,729.7996888733784,Оплачен
36,32,2026-01-27,445.6827850735363,Оплачен
37,957,2026-05-10,253.11644484898275,Не оплачен
38,726,2026-01-05,942.3720394167094,Оплачен
39,839,2026-05-25,941.5623067968071,Оплачен
40,731,2026-02-17,697.7452014730802,Оплачен
41,471,2026-04-29,239.1602937657724,Оплачен
42,134,2026-02-16,142.91364590090353,Оплачен
43,339,2026-01-04,787.0163519830365,Оплачен
44,1132,2026-03-20,292.455862271886,Оплачен
45,1146,2026-05-27,371.8208080043552,Оплачен
46,731,2026-02-18,916.8133658874052,Оплачен
47,31,2026-02-24,177.0809743368143,Не оплачен
48,729,2026-05-18,319.7830418942144,Оплачен
49,1137,2026-01-30,685.6682990272681,Не оплачен
50,614,2026-05-03,213.79144965778835,Не оплачен
51,390,2026-04-09,495.093937252012,Не оплачен
52,757,2026-04-27,805.6959019413118,Оплачен
53,1088,2026-02-07,246.32646390307053,Оплачен
54,681,2026-04-22,893.1210948163454,Оплачен
55,1084,2026-05-06,750.950311037415,Оплачен
56,503,2026-05-22,580.4230116989766,Не оплачен
57,882,2026-03-26,505.9195655096678,Оплачен
58,156,2026-04-04,531.3882681674759,Не оплачен
59,1112,2026-02-11,835.6639346447006,Не оплачен
60,7,2026-01-20,492.35534220618956,Оплачен
61,14,2026-01-18,621.4587462985039,Не оплачен
62,1122,2026-02-08,573.3158684144529,Оплачен
63,366,2026-03-26,228.81024307623207,Не оплачен
64,648,2026-04-10,803.8705113563694,Оплачен
65,413,2026-03-30,529.7426858517744,Не оплачен
66,183,2026-02-11,272.2512894560597,Не оплачен
67,368,2026-04-23,692.3317464813894,Оплачен
68,122,2026-01-25,319.2768194223593,Не оплачен
69,602,2026-04-03,247.1917731879542,Не оплачен
70,1019,2026-03-19,461.91967544690374,Не оплачен
71,533,2026-02-17,422.82881410829896,Оплачен
72,290,2026-04-01,892.527111408873,Оплачен
73,52,2026-01-30,164.00463948558303,Оплачен
74,22,2026-05-07,231.0204656748617,Оплачен
75,153,2026-01-03,306.4670571492761,Оплачен
76,681,2026-03-02,252.68892688095758,Не оплачен
77,564,2026-03-03,967.3413066843424,Оплачен
78,836,2026-01-21,227.24926801627817,Оплачен
79,1009,2026-04-25,225.9002542546438,Оплачен
80,960,2026-02-11,517.9798542704712,Оплачен
81,296,2026-02-04,822.7198290684039,Оплачен
82,413,2026-03-15,251.55757107525056,Оплачен
83,1140,2026-04-18,141.4843590687784,Оплачен
84,570,2026-04-22,925.8733818658566,Оплачен
85,41,2026-05-02,948.9668232710243,Не оплачен
86,598,2026-01-31,991.0113286849598,Оплачен
87,351,2026-01-25,464.2264259843936,Не оплачен
88,155,2026-01-28,495.9827784925318,Оплачен
89,599,2026-03-23,265.8605721097976,Оплачен
90,1196,2026-03-16,180.026686903697,Не оплачен
91,739,2026-03-12,449.50265949256107,Не оплачен
92,897,2026-05-03,891.5427219878627,Не оплачен
93,92,2026-02-25,618.8136784570598,Не оплачен
94,819,2026-05-04,520.9525310274825,Оплачен
95,243,2026-03-05,706.9820517588097,Не оплачен
96,615,2026-04-16,330.6956001076442,Не оплачен
97,478,2026-05-03,436.1552335422583,Не оплачен
98,1140,2026-03-25,784.9390971414609,Не оплачен
99,385,2026-01-16,583.8179789846204,Не оплачен
100,680,2026-02-03,873.3492070537562,Оплачен
101,745,2026-05-03,987.9812567649282,Не оплачен
102,19,2026-01-14,985.4859094755744,Не оплачен
103,949,2026-02-17,394.72997633760315,Не оплачен
104,283,2026-05-27,180.70824135542262,Оплачен
105,924,2026-04-13,860.6553468967459,Оплачен
106,596,2026-01-26,896.290245688537,Оплачен
107,972,2026-02-11,817.2867207445752,Оплачен
108,123,2026-01-25,731.5988837601101,Не оплачен
109,1060,2026-05-09,272.6655756264764,Оплачен
110,1010,2026-01-25,596.5788489866495,Не оплачен
111,286,2026-04-22,196.67382305937178,Не оплачен
112,768,2026-03-29,362.080019086854,Оплачен
113,13,2026-03-13,957.6309705145734,Оплачен
114,206,2026-01-21,767.767350794873,Не оплачен
115,406,2026-05-21,969.8994067651811,Не оплачен
116,881,2026-02-16,841.2401853769366,Оплачен
117,925,2026-03-12,913.8492186122227,Не оплачен
118,58,2026-03-07,250.71915976716357,Не оплачен
119,635,2026-05-16,619.4007572944379,Не оплачен
120,444,2026-05-11,961.749677322912,Не оплачен
121,770,2026-05-05,532.3339956881392,Не оплачен
122,655,2026-05-21,728.4266996791489,Не оплачен
123,520,2026-03-29,473.28744698344127,Оплачен
124,158,2026-02-26,371.7016400209064,Оплачен
125,353,2026-04-29,388.17213341708305,Оплачен
126,686,2026-05-08,664.4647597814425,Оплачен
127,979,2026-02-04,133.04804223544403,Не оплачен
128,641,2026-01-19,589.3524586895393,Оплачен
129,1048,2026-02-19,619.1879436870058,Не оплачен
130,960,2026-04-02,244.76784072629374,Не оплачен
131,1191,2026-01-13,346.22807823048737,Не оплачен
132,1187,2026-05-02,807.9338992527652,Оплачен
133,810,2026-01-25,672.7912149489708,Оплачен
134,1090,2026-03-20,846.9295770839401,Не оплачен
135,507,2026-01-15,232.04452176224734,Оплачен
136,300,2026-01-21,696.375922252485,Оплачен
137,895,2026-02-04,724.6819505395242,Не оплачен
138,1124,2026-02-15,367.37287436559706,Оплачен
139,76,2026-01-28,579.1619146562065,Не оплачен
140,511,2026-03-05,127.4303864960666,Оплачен
141,888,2026-03-02,312.4763440549526,Не оплачен
142,1099,2026-05-21,634.4959773306323,Не оплачен
143,431,2026-05-10,218.1526177223897,Оплачен
144,673,2026-05-26,644.4037943509543,Не оплачен
145,926,2026-02-17,140.09673020637186,Не оплачен
146,745,2026-02-03,740.5186918877124,Не оплачен
147,830,2026-02-09,129.2977345805181,Оплачен
148,963,2026-04-27,814.5128270430764,Оплачен
149,827,2026-05-15,317.36544092912266,Не оплачен
150,1034,2026-03-11,398.4482144241501,Оплачен
151,1055,2026-05-14,593.9576255408023,Не оплачен
152,781,2026-03-22,736.9402051200661,Оплачен
153,819,2026-04-09,124.15324759027963,Не оплачен
154,734,2026-02-14,151.53216116519437,Оплачен
155,649,2026-02-09,695.1353153142521,Оплачен
156,440,2026-04-18,140.85014976809055,Оплачен
157,537,2026-03-01,276.108739929197,Оплачен
158,521,2026-02-19,116.77373408875715,Оплачен
159,471,2026-02-25,522.1327533070406,Не оплачен
160,587,2026-04-29,490.4451510544452,Не оплачен
161,35,2026-04-28,465.3509937742203,Оплачен
162,771,2026-03-05,737.6363859781402,Оплачен
163,598,2026-04-15,506.7590691737642,Не оплачен
164,322,2026-04-07,301.4239886793659,Оплачен
165,830,2026-02-19,611.9500322896839,Оплачен
166,870,2026-02-26,941.4238507862304,Не оплачен
167,701,2026-05-16,457.86401930757705,Оплачен
168,238,2026-02-19,968.0426515043521,Оплачен
169,279,2026-01-18,140.14511433024177,Оплачен
170,141,2026-03-11,601.6625177342039,Не оплачен
171,1062,2026-05-13,169.28747483315055,Не оплачен
172,234,2026-04-08,562.4597724780393,Оплачен
173,1000,2026-01-16,850.8806399753753,Оплачен
174,780,2026-03-16,515.7274869560346,Не оплачен
175,254,2026-02-16,834.4032458349774,Оплачен
176,896,2026-01-27,932.6067798778395,Оплачен
177,260,2026-01-05,294.82281156624197,Оплачен
178,481,2026-05-08,905.6110804676426,Оплачен
179,293,2026-01-26,511.9378565289109,Оплачен
180,825,2026-01-25,452.5689095787439,Не оплачен
181,158,2026-01-16,100.2833701988816,Оплачен
182,873,2026-03-13,470.43371705695125,Не оплачен
183,299,2026-04-13,358.3107335844037,Оплачен
184,1068,2026-05-21,245.44120698920347,Не оплачен
185,689,2026-02-25,972.5796959704752,Оплачен
186,648,2026-01-17,458.52075076866015,Не оплачен
187,87,2026-03-02,830.7647232721915,Оплачен
188,639,2026-03-19,604.4660548364297,Оплачен
189,763,2026-04-09,289.8689098242706,Оплачен
190,433,2026-05-27,895.7176706543823,Не оплачен
191,901,2026-03-16,720.0093932063453,Оплачен
192,131,2026-05-17,821.7888202454461,Не оплачен
193,68,2026-01-09,599.1701885652783,Не оплачен
194,718,2026-05-23,680.91646290833,Не оплачен
195,508,2026-01-29,274.12293513662723,Оплачен
196,650,2026-04-06,788.509298873352,Не оплачен
197,904,2026-04-20,816.4421132028111,Не оплачен
198,830,2026-02-09,306.5007034937024,Оплачен
199,342,2026-01-01,676.3824804726767,Не оплачен
200,162,2026-05-20,718.3000436672646,Не оплачен
201,873,2026-05-29,418.55538463110764,Оплачен
202,1074,2026-02-07,267.2933562265605,Не оплачен
203,728,2026-02-15,868.4604052778448,Оплачен
204,447,2026-05-14,107.49060341465535,Не оплачен
205,58,2026-05-24,141.56359732626416,Не оплачен
