policy_id,car_id,company,start_date,end_date,cost
1,458,РЕСО-Гарантия,2026-02-18 03:04:25,2027-02-18 03:04:25,17050
2,611,РЕСО-Гарантия,2024-07-25 04:47:34,2025-07-25 04:47:34,11149
3,611,Т-Страхование,2025-07-25 04:47:34,2026-07-25 04:47:34,7364
4,726,Ингосстрах,2026-03-24 21:08:19,2027-03-24 21:08:19,6245
5,225,Росгосстрах,2025-04-26 06:51:34,2026-04-26 06:51:34,16571
6,1012,Росгосстрах,2024-06-12 23:52:47,2025-06-12 23:52:47,5416
7,1012,Ингосстрах,2025-06-12 23:52:47,2026-06-12 23:52:47,24656
8,623,РЕСО-Гарантия,2024-12-28 11:08:13,2025-12-28 11:08:13,12632
9,623,АльфаСтрахование,2025-12-28 11:08:13,2026-12-28 11:08:13,5215
10,901,Т-Страхование,2025-11-02 08:23:57,2026-11-02 08:23:57,24937
11,478,Росгосстрах,2025-11-14 04:31:20,2026-11-14 04:31:20,10389
12,1150,АльфаСтрахование,2026-04-22 23:43:01,2027-04-22 23:43:01,15753
13,1156,ВСК,2025-01-04 23:00:50,2026-01-04 23:00:50,13077
14,1156,РЕСО-Гарантия,2026-01-04 23:00:50,2027-01-04 23:00:50,13915
15,231,ВСК,2024-12-26 04:17:34,2025-12-26 04:17:34,6998
16,231,Ингосстрах,2025-12-26 04:17:34,2026-12-26 04:17:34,20629
17,1081,Росгосстрах,2025-06-11 23:09:04,2026-06-11 23:09:04,19991
18,941,ВСК,2026-04-01 13:42:38,2027-04-01 13:42:38,16300
19,778,Ингосстрах,2025-12-12 21:05:32,2026-12-12 21:05:32,9835
20,1007,Росгосстрах,2025-07-12 00:18:41,2026-07-12 00:18:41,6663
21,60,Т-Страхование,2023-11-13 13:27:22,2024-11-12 13:27:22,10820
22,60,Ингосстрах,2024-11-12 13:27:22,2025-11-12 13:27:22,13366
23,60,Ингосстрах,2025-11-12 13:27:22,2026-11-12 13:27:22,23136
24,136,АльфаСтрахование,2024-12-14 02:49:48,2025-12-14 02:49:48,17077
25,136,Т-Страхование,2025-12-14 02:49:48,2026-12-14 02:49:48,8294
26,80,ВСК,2025-12-19 04:22:49,2026-12-19 04:22:49,5738
27,840,АльфаСтрахование,2024-10-26 19:53:46,2025-10-26 19:53:46,12074
28,840,Т-Страхование,2025-10-26 19:53:46,2026-10-26 19:53:46,5338
29,356,ВСК,2025-11-15 09:16:47,2026-11-15 09:16:47,17915
30,904,ВСК,2025-11-29 19:05:04,2026-11-29 19:05:04,17461
31,289,Т-Страхование,2025-03-10 18:37:35,2026-03-10 18:37:35,17853
32,289,Росгосстрах,2026-03-10 18:37:35,2027-03-10 18:37:35,15199
33,969,Т-Страхование,2025-09-03 08:44:08,2026-09-03 08:44:08,19378
34,855,Т-Страхование,2026-03-02 08:43:55,2027-03-02 08:43:55,18324
35,636,ВСК,2026-03-01 13:31:46,2027-03-01 13:31:46,23939
36,499,Ингосстрах,2024-09-08 08:11:45,2025-09-08 08:11:45,18119
37,499,РЕСО-Гарантия,2025-09-08 08:11:45,2026-09-08 08:11:45,9823
38,550,ВСК,2026-03-13 09:00:09,2027-03-13 09:00:09,19600
39,1039,АльфаСтрахование,2024-10-11 01:23:20,2025-10-11 01:23:20,22249
40,1039,ВСК,2025-10-11 01:23:20,2026-10-11 01:23:20,9213
41,1164,Росгосстрах,2026-01-17 19:30:31,2027-01-17 19:30:31,19228
42,411,ВСК,2025-07-09 03:40:22,2026-07-09 03:40:22,15055
43,884,РЕСО-Гарантия,2025-07-18 06:59:42,2026-07-18 06:59:42,5169
44,482,Т-Страхование,2025-10-20 01:04:48,2026-10-20 01:04:48,22897
45,319,ВСК,2025-10-23 21:46:19,2026-10-23 21:46:19,6353
46,447,ВСК,2024-09-19 06:17:21,2025-09-19 06:17:21,23318
